"","#Method","IterScale","Repeat","Metric","Value","TreeName","Time","PGSExperiments.iterScalings","gen.nTaxa"
"241","SMC4K2P",45,8,"ConsensusLogLL",-6513.48481812805,"sim-1980128383.msf",59235,45,40
"242","SMC4K2P",45,8,"BestSampledLogLL",-6513.92218714028,"sim-1980128383.msf",59235,45,40
"243","SMC4K2P",45,8,"PartitionMetric",14,"sim-1980128383.msf",59235,45,40
"244","SMC4K2P",45,8,"RobinsonFouldsMetric",0.220162962596357,"sim-1980128383.msf",59235,45,40
"245","SMC4K2P",45,8,"KuhnerFelsenstein",0.0021784527922197,"sim-1980128383.msf",59235,45,40
"246","SMC4K2P",45,9,"ConsensusLogLL",-6534.2819938057,"sim-1980128383.msf",58662,45,40
"247","SMC4K2P",45,9,"BestSampledLogLL",-6534.97920213762,"sim-1980128383.msf",58662,45,40
"248","SMC4K2P",45,9,"PartitionMetric",14,"sim-1980128383.msf",58662,45,40
"249","SMC4K2P",45,9,"RobinsonFouldsMetric",0.29997232261636,"sim-1980128383.msf",58662,45,40
"250","SMC4K2P",45,9,"KuhnerFelsenstein",0.0030171112530001,"sim-1980128383.msf",58662,45,40
"251","SMC4K2P",45,0,"ConsensusLogLL",-2870.31193219684,"sim--1047884239.msf",37083,45,5
"252","SMC4K2P",45,0,"BestSampledLogLL",-2869.70250820969,"sim--1047884239.msf",37083,45,5
"253","SMC4K2P",45,0,"PartitionMetric",0,"sim--1047884239.msf",37083,45,5
"254","SMC4K2P",45,0,"RobinsonFouldsMetric",0.0566782816051318,"sim--1047884239.msf",37083,45,5
"255","SMC4K2P",45,0,"KuhnerFelsenstein",0.000586469647447198,"sim--1047884239.msf",37083,45,5
"256","SMC4K2P",45,1,"ConsensusLogLL",-2869.73390301872,"sim--1047884239.msf",36713,45,5
"257","SMC4K2P",45,1,"BestSampledLogLL",-2869.71419183951,"sim--1047884239.msf",36713,45,5
"258","SMC4K2P",45,1,"PartitionMetric",0,"sim--1047884239.msf",36713,45,5
"259","SMC4K2P",45,1,"RobinsonFouldsMetric",0.0602282816051318,"sim--1047884239.msf",36713,45,5
"260","SMC4K2P",45,1,"KuhnerFelsenstein",0.000988696081486663,"sim--1047884239.msf",36713,45,5
